,SIG_CD,SIG_ENG_NM_x,forest,dem,x,y,slope,farm_cnt,NUMPOINTS,1,2,3,4,5,6,7,8,9,10,11,12,2019,2020,2021,2022,2023
42,11470,양천구,281,21.23428153,126.8554777,37.52478941,2.270493489,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,11470,양천구,281,21.23428153,126.8554777,37.52478941,2.270493489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
44,11470,양천구,281,21.23428153,126.8554777,37.52478941,2.270493489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
45,11500,강서구,390,15.12990958,126.8228067,37.56123543,1.36149409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
46,11500,강서구,390,15.12990958,126.8228067,37.56123543,1.36149409,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
47,11500,강서구,390,15.12990958,126.8228067,37.56123543,1.36149409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
48,11530,구로구,356,25.43690869,126.8563006,37.49440543,3.059078325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49,11530,구로구,356,25.43690869,126.8563006,37.49440543,3.059078325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50,11530,구로구,356,25.43690869,126.8563006,37.49440543,3.059078325,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
51,11545,금천구,322,51.53242774,126.9008202,37.46056756,4.948197964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
52,11545,금천구,322,51.53242774,126.9008202,37.46056756,4.948197964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
53,11545,금천구,322,51.53242774,126.9008202,37.46056756,4.948197964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54,11560,영등포구,4,11.26753784,126.9101695,37.52230829,0.135334226,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
55,11560,영등포구,4,11.26753784,126.9101695,37.52230829,0.135334226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
56,11560,영등포구,4,11.26753784,126.9101695,37.52230829,0.135334226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
57,11590,동작구,376,44.34514358,126.9516415,37.49887688,5.332923273,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58,11590,동작구,376,44.34514358,126.9516415,37.49887688,5.332923273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
59,11590,동작구,376,44.34514358,126.9516415,37.49887688,5.332923273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60,11620,관악구,1744,134.879873,126.9453372,37.46737569,10.79054016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
61,11620,관악구,1744,134.879873,126.9453372,37.46737569,10.79054016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
