time,SIG_CD,Infected
2020-10-12,11170,0.0
2020-10-19,11170,0.0
2020-10-26,11170,0.0
2020-11-02,11170,0.0
2020-11-09,11170,0.0
2020-11-16,11170,0.0
2020-11-23,11170,0.0
2020-11-30,11170,0.0
2020-12-07,11170,0.0
2020-12-14,11170,0.0
2020-12-21,11170,0.0
2020-12-28,11170,0.0
2021-01-04,11170,0.0
2021-01-11,11170,0.0
2021-01-18,11170,0.0
2021-01-25,11170,0.0
2021-02-01,11170,0.0
2021-02-08,11170,0.0
2021-02-15,11170,0.0
2021-02-22,11170,0.0
2021-03-01,11170,0.0
2021-03-08,11170,0.0
2021-03-15,11170,0.0
2021-03-22,11170,0.0
2021-03-29,11170,0.0
2021-04-05,11170,0.0
2021-04-12,11170,0.0
2021-04-19,11170,0.0
2021-04-26,11170,0.0
2021-05-03,11170,0.0
2021-05-10,11170,0.0
2021-05-17,11170,0.0
2021-05-24,11170,0.0
2021-05-31,11170,0.0
2021-06-07,11170,0.0
2021-06-14,11170,0.0
2021-06-21,11170,0.0
2021-06-28,11170,0.0
2021-07-05,11170,0.0
2021-07-12,11170,0.0
2021-07-19,11170,0.0
2021-07-26,11170,0.0
2021-08-02,11170,0.0
2021-08-09,11170,0.0
2021-08-16,11170,0.0
2021-08-23,11170,0.0
2021-08-30,11170,0.0
2021-09-06,11170,0.0
2021-09-13,11170,0.0
2021-09-20,11170,0.0
2021-09-27,11170,0.0
2021-10-04,11170,0.0
2021-10-11,11170,0.0
2021-10-18,11170,0.0
2021-10-25,11170,0.0
2021-11-01,11170,0.0
2021-11-08,11170,0.0
2021-11-15,11170,0.0
2021-11-22,11170,0.0
2021-11-29,11170,0.0
2021-12-06,11170,0.0
2021-12-13,11170,0.0
2021-12-20,11170,0.0
2021-12-27,11170,0.0
2022-01-03,11170,0.0
2022-01-10,11170,0.0
2022-01-17,11170,0.0
2022-01-24,11170,0.0
2022-01-31,11170,0.0
2022-02-07,11170,0.0
2022-02-14,11170,0.0
2022-02-21,11170,0.0
2022-02-28,11170,0.0
2022-03-07,11170,0.0
